DateTime,Temperature,Humidity,Wind_Speed,general_diffuse_flows,diffuse_flows,zone_one,zone_two,zone_three,hour_sin,hour_cos
2017-01-01 00:00:00,6.2,75.07,0.08,0.06,0.1,29197.97,18026.75,19252.05,0.0,1.0
2017-01-01 01:00:00,5.55,77.58,0.08,0.06,0.11,24657.22,16078.42,17042.89,0.25881904510252074,0.9659258262890683
2017-01-01 02:00:00,5.05,78.93,0.08,0.06,0.13,22083.04,14330.7,15676.14,0.49999999999999994,0.8660254037844387
2017-01-01 03:00:00,5.0,77.08,0.08,0.06,0.14,20811.14,13219.45,14883.86,0.7071067811865476,0.7071067811865476
2017-01-01 04:00:00,5.1,74.05,0.08,0.06,0.12,20475.95,12921.58,14317.11,0.8660254037844386,0.5000000000000001
2017-01-01 05:00:00,4.74,75.23,0.08,0.07,0.12,20807.09,13069.91,14395.18,0.9659258262890683,0.25881904510252074
2017-01-01 06:00:00,4.57,75.75,0.08,0.06,0.13,21648.61,13596.35,14513.73,1.0,6.123233995736766e-17
2017-01-01 07:00:00,4.45,73.4,0.08,0.07,0.12,18540.76,11449.85,11552.77,0.9659258262890683,-0.25881904510252063
2017-01-01 08:00:00,4.66,73.6,0.08,13.76,6.31,19605.06,11738.6,11190.36,0.8660254037844387,-0.4999999999999998
2017-01-01 09:00:00,4.61,73.98,0.08,144.8,25.22,22905.32,13814.59,13026.51,0.7071067811865476,-0.7071067811865475
2017-01-01 10:00:00,6.15,69.64,3.74,293.27,31.88,26685.57,16232.83,14801.93,0.49999999999999994,-0.8660254037844387
2017-01-01 11:00:00,9.89,58.04,2.09,408.08,36.34,29288.1,17772.04,16000.96,0.258819045102521,-0.9659258262890682
2017-01-01 12:00:00,14.85,57.08,0.08,478.85,40.2,29889.62,18187.84,16853.01,1.2246467991473532e-16,-1.0
2017-01-01 13:00:00,15.68,57.07,0.08,493.93,41.76,30231.9,18378.12,17298.31,-0.2588190451025208,-0.9659258262890683
2017-01-01 14:00:00,15.77,55.64,0.08,451.42,41.48,29898.73,18099.09,16873.25,-0.4999999999999997,-0.8660254037844388
2017-01-01 15:00:00,15.56,58.19,0.07,303.5,54.77,29218.23,17722.8,16594.7,-0.7071067811865471,-0.7071067811865479
2017-01-01 16:00:00,15.47,58.29,0.08,217.52,214.27,28730.13,17503.34,16388.43,-0.8660254037844385,-0.5000000000000004
2017-01-01 17:00:00,15.15,59.93,0.08,102.64,125.28,34423.29,21094.83,22275.66,-0.9659258262890683,-0.25881904510252063
2017-01-01 18:00:00,14.01,65.27,0.08,4.8,4.87,39619.24,24361.7,25729.16,-1.0,-1.8369701987210297e-16
2017-01-01 19:00:00,11.81,70.21,0.08,0.06,0.1,40318.99,24692.4,26186.02,-0.9659258262890684,0.2588190451025203
2017-01-01 20:00:00,11.69,70.88,0.08,0.06,0.1,40371.65,25406.08,26493.49,-0.8660254037844386,0.5000000000000001
2017-01-01 21:00:00,11.75,70.83,0.08,0.06,0.1,38712.91,24836.47,25344.58,-0.7071067811865477,0.7071067811865474
2017-01-01 22:00:00,12.79,66.21,0.07,0.06,0.12,34972.15,23067.48,22582.17,-0.5000000000000004,0.8660254037844384
2017-01-01 23:00:00,11.71,72.51,0.08,0.07,0.1,30072.91,20105.78,19578.8,-0.25881904510252157,0.9659258262890681
2017-01-02 00:00:00,10.67,78.03,0.08,0.07,0.14,25303.29,17007.9,16884.82,0.0,1.0
2017-01-02 01:00:00,10.7,78.92,0.08,0.07,0.14,22512.41,14910.64,15079.52,0.25881904510252074,0.9659258262890683
2017-01-02 02:00:00,11.03,76.75,0.08,0.07,0.15,20945.82,13835.87,14165.78,0.49999999999999994,0.8660254037844387
