Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,WeekStatus,Day_of_week_Monday,Day_of_week_Thursday,Day_of_week_Tuesday,Day_of_week_Wednesday,Load_Type_Maximum_Load,Load_Type_Medium_Load,NSM_sin,NSM_cos,month_sin,month_cos
3.17,2.95,0.0,0,1,0,0,0,0,0,0.06540312923014306,0.9978589232386035,0.49999999999999994,0.8660254037844387
4.0,4.46,0.0,0,1,0,0,0,0,0,0.13052619222005157,0.9914448613738104,0.49999999999999994,0.8660254037844387
3.24,3.28,0.0,0,1,0,0,0,0,0,0.19509032201612828,0.9807852804032304,0.49999999999999994,0.8660254037844387
3.31,3.56,0.0,0,1,0,0,0,0,0,0.25881904510252074,0.9659258262890683,0.49999999999999994,0.8660254037844387
3.82,4.5,0.0,0,1,0,0,0,0,0,0.3214394653031616,0.9469301294951057,0.49999999999999994,0.8660254037844387
3.28,3.56,0.0,0,1,0,0,0,0,0,0.38268343236508984,0.9238795325112867,0.49999999999999994,0.8660254037844387
3.6,4.14,0.0,0,1,0,0,0,0,0,0.4422886902190013,0.8968727415326883,0.49999999999999994,0.8660254037844387
3.6,4.28,0.0,0,1,0,0,0,0,0,0.49999999999999994,0.8660254037844387,0.49999999999999994,0.8660254037844387
3.28,3.64,0.0,0,1,0,0,0,0,0,0.5555702330196022,0.8314696123025452,0.49999999999999994,0.8660254037844387
3.78,4.72,0.0,0,1,0,0,0,0,0,0.6087614290087207,0.7933533402912352,0.49999999999999994,0.8660254037844387
3.46,4.03,0.0,0,1,0,0,0,0,0,0.6593458151000688,0.7518398074789774,0.49999999999999994,0.8660254037844387
3.24,3.64,0.0,0,1,0,0,0,0,0,0.7071067811865476,0.7071067811865475,0.49999999999999994,0.8660254037844387
3.96,4.97,0.0,0,1,0,0,0,0,0,0.7518398074789774,0.6593458151000688,0.49999999999999994,0.8660254037844387
3.31,3.74,0.0,0,1,0,0,0,0,0,0.7933533402912352,0.6087614290087207,0.49999999999999994,0.8660254037844387
3.31,3.85,0.0,0,1,0,0,0,0,0,0.8314696123025452,0.5555702330196023,0.49999999999999994,0.8660254037844387
3.89,5.0,0.0,0,1,0,0,0,0,0,0.8660254037844386,0.5000000000000001,0.49999999999999994,0.8660254037844387
3.28,3.82,0.0,0,1,0,0,0,0,0,0.8968727415326883,0.44228869021900147,0.49999999999999994,0.8660254037844387
3.56,4.28,0.0,0,1,0,0,0,0,0,0.9238795325112867,0.38268343236508984,0.49999999999999994,0.8660254037844387
3.74,4.54,0.0,0,1,0,0,0,0,0,0.9469301294951056,0.3214394653031617,0.49999999999999994,0.8660254037844387
3.31,3.6,0.0,0,1,0,0,0,0,0,0.9659258262890683,0.25881904510252074,0.49999999999999994,0.8660254037844387
3.56,4.07,0.0,0,1,0,0,0,0,0,0.9807852804032304,0.19509032201612833,0.49999999999999994,0.8660254037844387
3.56,4.1,0.0,0,1,0,0,0,0,0,0.9914448613738104,0.1305261922200517,0.49999999999999994,0.8660254037844387
3.28,3.49,0.0,0,1,0,0,0,0,0,0.9978589232386035,0.06540312923014305,0.49999999999999994,0.8660254037844387
3.78,4.32,0.0,0,1,0,0,0,0,0,1.0,-1.6081226496766366e-16,0.49999999999999994,0.8660254037844387
3.35,3.64,0.0,0,1,0,0,0,0,0,0.9978589232386035,-0.06540312923014314,0.49999999999999994,0.8660254037844387
3.24,3.35,0.0,0,1,0,0,0,0,0,0.9914448613738104,-0.1305261922200516,0.49999999999999994,0.8660254037844387
3.89,4.46,0.0,0,1,0,0,0,0,0,0.9807852804032304,-0.1950903220161282,0.49999999999999994,0.8660254037844387
3.31,3.53,0.0,0,1,0,0,0,0,0,0.9659258262890683,-0.25881904510252085,0.49999999999999994,0.8660254037844387
3.28,3.49,0.0,0,1,0,0,0,0,0,0.9469301294951057,-0.3214394653031616,0.49999999999999994,0.8660254037844387
3.85,4.75,0.0,0,1,0,0,0,0,0,0.9238795325112867,-0.3826834323650897,0.49999999999999994,0.8660254037844387
3.2,3.6,0.0,0,1,0,0,0,0,0,0.8968727415326884,-0.44228869021900113,0.49999999999999994,0.8660254037844387
3.31,3.78,0.0,0,1,0,0,0,0,0,0.8660254037844387,-0.4999999999999998,0.49999999999999994,0.8660254037844387
3.78,4.75,0.0,0,1,0,0,0,0,0,0.8314696123025453,-0.555570233019602,0.49999999999999994,0.8660254037844387
3.28,3.74,0.0,0,1,0,0,0,0,0,0.7933533402912354,-0.6087614290087203,0.49999999999999994,0.8660254037844387
3.49,4.46,0.18,0,1,0,0,0,0,0,0.7518398074789774,-0.6593458151000688,0.49999999999999994,0.8660254037844387
3.89,0.0,15.66,0,1,0,0,0,0,0,0.7071067811865476,-0.7071067811865475,0.49999999999999994,0.8660254037844387
3.6,0.0,16.96,0,1,0,0,0,0,0,0.659345815100069,-0.7518398074789773,0.49999999999999994,0.8660254037844387
4.03,0.0,21.28,0,1,0,0,0,0,0,0.6087614290087209,-0.793353340291235,0.49999999999999994,0.8660254037844387
3.92,0.0,19.22,0,1,0,0,0,0,0,0.5555702330196022,-0.8314696123025453,0.49999999999999994,0.8660254037844387
3.64,0.0,16.88,0,1,0,0,0,0,0,0.49999999999999994,-0.8660254037844387,0.49999999999999994,0.8660254037844387
4.07,0.0,22.32,0,1,0,0,0,0,0,0.4422886902190013,-0.8968727415326883,0.49999999999999994,0.8660254037844387
3.71,0.0,18.0,0,1,0,0,0,0,0,0.3826834323650899,-0.9238795325112867,0.49999999999999994,0.8660254037844387
3.6,0.0,16.92,0,1,0,0,0,0,0,0.32143946530316175,-0.9469301294951056,0.49999999999999994,0.8660254037844387
4.21,0.0,23.4,0,1,0,0,0,0,0,0.258819045102521,-0.9659258262890682,0.49999999999999994,0.8660254037844387
3.49,0.0,5.65,0,1,0,0,0,0,0,0.19509032201612816,-0.9807852804032304,0.49999999999999994,0.8660254037844387
3.46,0.0,4.82,0,1,0,0,0,0,0,0.13052619222005157,-0.9914448613738104,0.49999999999999994,0.8660254037844387
4.0,0.0,6.7,0,1,0,0,0,0,0,0.06540312923014312,-0.9978589232386035,0.49999999999999994,0.8660254037844387
3.49,0.0,4.57,0,1,0,0,0,0,0,-3.216245299353273e-16,-1.0,0.49999999999999994,0.8660254037844387
3.6,0.0,12.89,0,1,0,0,0,0,0,-0.06540312923014287,-0.9978589232386035,0.49999999999999994,0.8660254037844387
4.25,0.0,23.15,0,1,0,0,0,0,0,-0.13052619222005177,-0.9914448613738104,0.49999999999999994,0.8660254037844387
3.67,0.0,16.67,0,1,0,0,0,0,0,-0.19509032201612792,-0.9807852804032305,0.49999999999999994,0.8660254037844387
3.67,0.0,16.63,0,1,0,0,0,0,0,-0.2588190451025208,-0.9659258262890683,0.49999999999999994,0.8660254037844387
4.25,0.0,23.33,0,1,0,0,0,0,0,-0.3214394653031611,-0.9469301294951058,0.49999999999999994,0.8660254037844387
3.64,0.0,16.74,0,1,0,0,0,0,0,-0.38268343236508967,-0.9238795325112868,0.49999999999999994,0.8660254037844387
3.67,0.0,16.99,0,1,0,0,0,0,0,-0.4422886902190011,-0.8968727415326884,0.49999999999999994,0.8660254037844387
4.28,0.0,23.4,0,1,0,0,0,0,0,-0.5000000000000001,-0.8660254037844386,0.49999999999999994,0.8660254037844387
3.64,0.0,16.67,0,1,0,0,0,0,0,-0.555570233019602,-0.8314696123025455,0.49999999999999994,0.8660254037844387
3.78,0.0,18.25,0,1,0,0,0,0,0,-0.6087614290087207,-0.7933533402912352,0.49999999999999994,0.8660254037844387
4.1,0.0,22.1,0,1,0,0,0,0,0,-0.6593458151000685,-0.7518398074789777,0.49999999999999994,0.8660254037844387
3.64,0.0,16.7,0,1,0,0,0,0,0,-0.7071067811865475,-0.7071067811865477,0.49999999999999994,0.8660254037844387
