Temperature,Humidity,CO2,Occupancy,weekend,tod_sin,tod_cos
23.18,27.272,721.25,1,0,-0.9992290362407229,-0.03925981575906901
23.15,27.2675,714.0,1,0,-0.9992290362407229,-0.03925981575906901
23.15,27.245,713.5,1,0,-0.9995335908367129,-0.030538513209822718
23.15,27.2,708.25,1,0,-0.9996573249755573,-0.026176948307873482
23.1,27.2,704.5,1,0,-0.9997620270799091,-0.021814885034560836
23.1,27.2,701.0,1,0,-0.9997620270799091,-0.021814885034560836
23.1,27.2,701.67,1,0,-0.999914327574007,-0.013089595571344698
23.1,27.2,699.0,1,0,-0.999914327574007,-0.013089595571344698
23.1,27.2,689.33,1,0,-0.9999619230641713,-0.008726535498373576
23.08,27.175,688.0,1,0,-1.0,-1.8369701987210297e-16
23.08,27.15,690.25,1,0,-0.9999904807207345,0.004363309284747004
23.1,27.1,691.0,1,0,-0.9999619230641713,0.008726535498374096
23.1,27.16667,683.5,1,0,-0.999914327574007,0.01308959557134433
23.05,27.15,687.5,1,0,-0.9998476951563913,0.01745240643728313
23.0,27.125,686.0,1,0,-0.9998476951563913,0.01745240643728313
23.0,27.125,680.5,1,0,-0.9996573249755573,0.026176948307873114
23.0,27.2,681.5,0,0,-0.999533590836713,0.030538513209822354
22.94,27.29,685.0,0,0,-0.9993908270190958,0.03489949670250128
22.94,27.39,685.0,0,0,-0.9993908270190958,0.03489949670250128
22.89,27.39,689.0,0,0,-0.9990482215818578,0.043619387365335764
22.89,27.39,689.5,0,0,-0.9990482215818578,0.043619387365335764
22.89,27.39,689.0,0,0,-0.9988483864849507,0.04797812852134344
22.89,27.445,691.0,0,0,-0.9983916705573488,0.056692787563377346
22.89,27.5,688.0,0,0,-0.998134798421867,0.06104853953485644
22.89,27.5,689.5,0,0,-0.9978589232386036,0.06540312923014237
22.79,27.445,689.0,0,0,-0.9975640502598243,0.06975647374412522
22.79,27.5,685.67,0,0,-0.9975640502598243,0.06975647374412522
22.79,27.5,687.0,0,0,-0.9972501850994857,0.07410849019539888
22.79,27.5,688.0,0,0,-0.9965655024977614,0.08280820751220433
22.74,27.5,670.0,0,0,-0.9961946980917455,0.08715574274765789
22.7,27.46333,668.67,0,0,-0.9958049275746618,0.09150161866340183
22.7,27.5,670.0,0,0,-0.9953961983671789,0.09584575252022316
22.7,27.5,667.0,0,0,-0.9949685182509117,0.10018806161207608
22.67,27.42667,664.5,0,0,-0.9949685182509117,0.10018806161207608
22.7,27.6,670.0,0,0,-0.9945218953682734,0.10452846326765299
22.6,27.42667,670.33,0,0,-0.9935718556765876,0.11320321376790658
22.6,27.39,672.0,0,0,-0.9930684569549263,0.11753739745783724
22.6,27.35667,658.0,0,0,-0.992546151641322,0.12186934340514768
22.6,27.445,660.5,0,0,-0.992004949679715,0.1261989691358297
22.6,27.42667,658.0,0,0,-0.992004949679715,0.1261989691358297
22.6,27.445,655.0,0,0,-0.9914448613738104,0.13052619222005213
22.6,27.445,654.25,0,0,-0.9902680687415704,0.13917310096006547
22.6,27.39,648.0,0,0,-0.9896513868196702,0.14349262199117904
22.5,27.32333,648.67,0,0,-0.9890158633619168,0.14780941112961096
22.5,27.445,646.0,0,0,-0.9883615104677607,0.15212338618991678
22.5,27.5,646.0,0,0,-0.9876883405951378,0.15643446504023067
22.5,27.445,641.5,0,0,-0.9876883405951378,0.15643446504023067
22.39,27.29,639.0,0,0,-0.9862856015372314,0.1650476058606778
22.5,27.5,640.0,0,0,-0.9855560590580777,0.1693495038490245
22.39,27.34,630.5,0,0,-0.9848077530122081,0.17364817766692997
22.39,27.35667,629.33,0,0,-0.9848077530122081,0.17364817766692997
22.39,27.5,632.0,0,0,-0.9832549075639546,0.18223552549214742
22.39,27.5,636.5,0,0,-0.9832549075639546,0.18223552549214742
22.39,27.5,627.5,0,0,-0.9824503977255098,0.18652403600873432
22.39,27.39,626.0,0,0,-0.9807852804032304,0.1950903220161283
22.39,27.5,625.5,0,0,-0.9799247046208297,0.19936793441719694
22.34,27.39,623.5,0,0,-0.979045472484584,0.203641751140177
22.39,27.46333,624.67,0,0,-0.9781476007338058,0.20791169081775857
22.39,27.39,622.0,0,0,-0.9772311064626789,0.21217767215644612
22.29,27.39,621.0,0,0,-0.9772311064626789,0.21217767215644612
22.34,27.39,626.5,0,0,-0.9753423205085129,0.2206974350215004
22.29,27.39,622.0,0,0,-0.9743700647852352,0.22495105434386492
22.39,27.39,620.0,0,0,-0.9733792584604486,0.22920039092241382
22.29,27.39,621.5,0,0,-0.9733792584604486,0.22920039092241382
22.29,27.35667,616.33,0,0,-0.9713420698132614,0.23768589232617307
22.29,27.34,609.0,0,0,-0.9713420698132614,0.23768589232617307
22.29,27.39,614.0,0,0,-0.9702957262759966,0.24192189559966742
22.29,27.34,613.5,0,0,-0.9681476403781077,0.25038000405444144
22.29,27.34,611.0,0,0,-0.9670459389139432,0.2546019482055274
22.29,27.39,612.0,0,0,-0.9659258262890682,0.25881904510252113
22.29,27.29,608.0,0,0,-0.9647873238288129,0.2630312144579749
22.29,27.29,605.5,0,0,-0.9647873238288129,0.2630312144579749
22.27,27.315,608.5,0,0,-0.9636304532086231,0.26723837607825673
22.2,27.29,608.5,0,0,-0.9612616959383188,0.2756373558169994
22.24,27.29,602.5,0,0,-0.9600498543859287,0.279829014030992
22.2,27.29,598.0,0,0,-0.9588197348681932,0.2840153447039223
22.2,27.29,595.0,0,0,-0.9575713608048143,0.2881962681340896
22.2,27.29,591.0,0,0,-0.9563047559630354,0.2923717047227367
