date,Temperature,Humidity,Light,CO2,Occupancy,tod_sin,tod_cos,weekend
2015-02-04 17:51:00,23.18,27.272,426.0,721.25,1,-0.9992290362407229,-0.03925981575906901,0
2015-02-04 17:51:59,23.15,27.2675,429.5,714.0,1,-0.9993882864134406,-0.03497217436201126,0
2015-02-04 17:53:00,23.15,27.245,426.0,713.5,1,-0.9995335908367129,-0.030538513209822718,0
2015-02-04 17:54:00,23.15,27.2,426.0,708.25,1,-0.9996573249755573,-0.026176948307873482,0
2015-02-04 17:55:00,23.1,27.2,426.0,704.5,1,-0.9997620270799091,-0.021814885034560836,0
2015-02-04 17:55:59,23.1,27.2,419.0,701.0,1,-0.9998464233377353,-0.017525117367316927,0
2015-02-04 17:57:00,23.1,27.2,419.0,701.666666666667,1,-0.999914327574007,-0.013089595571344698,0
2015-02-04 17:57:59,23.1,27.2,419.0,699.0,1,-0.9999612858084543,-0.008799254758368234,0
2015-02-04 17:58:59,23.1,27.2,419.0,689.333333333333,1,-0.9999901607677061,-0.004436030633049984,0
2015-02-04 18:00:00,23.075,27.175,419.0,688.0,1,-1.0,-1.8369701987210297e-16,0
2015-02-04 18:01:00,23.075,27.15,419.0,690.25,1,-0.9999904807207345,0.004363309284747004,0
2015-02-04 18:02:00,23.1,27.1,419.0,691.0,1,-0.9999619230641713,0.008726535498374096,0
2015-02-04 18:03:00,23.1,27.1666666666667,419.0,683.5,1,-0.999914327574007,0.01308959557134433,0
2015-02-04 18:04:00,23.05,27.15,419.0,687.5,1,-0.9998476951563913,0.01745240643728313,0
2015-02-04 18:04:59,23.0,27.125,419.0,686.0,1,-0.999763610859496,0.021742180230653777,0
2015-02-04 18:06:00,23.0,27.125,418.5,680.5,1,-0.9996573249755573,0.026176948307873114,0
2015-02-04 18:07:00,23.0,27.2,0.0,681.5,0,-0.999533590836713,0.030538513209822354,0
2015-02-04 18:08:00,22.945,27.29,0.0,685.0,0,-0.9993908270190958,0.03489949670250128,0
2015-02-04 18:08:59,22.945,27.39,0.0,685.0,0,-0.9992318886528803,0.03918714966921991,0
2015-02-04 18:10:00,22.89,27.39,0.0,689.0,0,-0.9990482215818578,0.043619387365335764,0
2015-02-04 18:10:59,22.89,27.39,0.0,689.5,0,-0.9988518729117095,0.04790549009007358,0
2015-02-04 18:11:59,22.89,27.39,0.0,689.0,0,-0.998633338092086,0.052263333715496955,0
2015-02-04 18:13:00,22.89,27.445,0.0,691.0,0,-0.9983916705573488,0.056692787563377346,0
2015-02-04 18:14:00,22.89,27.5,0.0,688.0,0,-0.998134798421867,0.06104853953485644,0
